sensor,rank_type,unique_id,score
Mat_Irms,bottom,20240101104709_D346EAH0-8,-5.5403104
Mat_Irms,bottom,20231231172846_D3468500-23,-5.5357904
Mat_Irms,bottom,20240206155009_D4024030-21,-5.5293913
Mat_Irms,top,20240706163137_D4219820-3,-2.6334305
Mat_Irms,top,20240510175949_D4142550-5,-2.623932
Mat_Irms,top,20240709082722_D4221220-9,-2.58984
Mat_Irms,top,20240710201133_D4198730-2,-2.5806658
Mat_Irms,top,20240706181126_D4231700-11,-2.4404256
Mat_Irms,top,20240706163137_D4219820-12,-2.4080138
Mat_Irms,top,20240705184942_D4218950-5,-2.3977723
Mat_Irms,top,20240710003117_D4209590-4,-2.3774283
Mat_Irms,top,20240708003108_D419EK90-10,-2.3655283
Mat_Irms,top,20240706144908_D424YPF0-14,-2.311406
Mat_Phase,bottom,20240504225725_D411ER30-7,-4.0731287
Mat_Phase,bottom,20240413152018_D405E770-4,-4.011292
Mat_Phase,bottom,20240706173038_D4248180-1,-3.9988892
Mat_Phase,bottom,20240318161828_D404E360-21,-3.998118
Mat_Phase,bottom,20240711041856_D417EEN0-1,-3.9972851
Mat_Phase,bottom,20240711070056_D4242320-5,-3.9880822
Mat_Phase,bottom,20240319111421_D3527QM0A-11,-3.9812555
Mat_Phase,bottom,20240113071414_D3485130-25,-3.9765472
Mat_Phase,bottom,20240222150046_D4028020-25,-3.9734714
Mat_Phase,bottom,20240707032557_D4231420-7,-3.9731214
Mat_Phase,top,20240510101604_D419YJK0-20,-3.120453
Mat_Phase,top,20240418213427_D4058800-10,-3.119927
Mat_Phase,top,20240512123715_D411E080-25,-3.1044574
Mat_Phase,top,20240511213407_D4128370-1,-3.0947402
Mat_Phase,top,20240309072554_D404E4K0-11,-3.0919926
Mat_Phase,top,20240510175949_D4142550-5,-3.085842
Mat_Phase,top,20240229042452_D3518490-1,-3.084798
Mat_Phase,top,20240510101604_D419YJK0-14,-3.081907
Mat_Phase,top,20240511054128_D4153190-3,-3.0803623
Mat_Phase,top,20240511054128_D4153190-11,-3.0653887
Mat_Vrms,bottom,20240711041856_D417EEN0-10,-5.773096
